pk,jsondata,id,name,description,markup_description,version
143,{},143,think (1),"There have been several restructurings of this interesting verb. **WI** and
**QU** have replaced {*e-} with what appears to be instrumental {í-}. In
**KS** the verb has been contaminated by the semantically related ‘**898**’, q.v.

**DA** and **BI** suggest a reconstruction with {*y}, the other languages show
reflexes of {*r}. **DA** in particular has a relic conjugated form, 1s
{epčá} (defective), which makes {*y} the more attractive
reconstruction. In **CR**, **HI** and **MA** {*r} and {*y} normally fall together
as {r}, and since, in the more southerly languages {*r} and {*y}
seem to fall together in certain consonant clusters (those created in 1st
and 2nd person conjugated forms), the neutralization product, {*r}, may
have been generalized to 3rd person forms. So the most probable
reconstruction is with the more exceptional {*y}. Cf. ‘**141**’.  The **OF**
form may simply have lost the main portion of the verb stem, leaving only the
extension shown elsewhere in **MA** and **BI**.",,1
144,{},144,thin,"In MVS we see suffixing of derivational {*-ka}. Note also that **PDH**
gemination and **CH** aspiration are being produced across a morpheme boundary
from the older |*hk| cluster. Therefore **LA** aspiration is also expected here.",,1
145,{},145,thigh,"The **DA** form is related to DH {žeká} ‘**631**’, which matches
the **DA** {čhečh-}. This implies a **PMV** {*yek-}, which is in
another set. If the part we consider cognate here is {-ųte},
the initial {r} of the northern languages needs to be accounted
for. Here we suggest that the {r} is the epenthetic glide that
we normally find between inalienable {*i-}, which occurs with
most body parts, and vowel initial stems. The difference in quality
of the nasal vowels is still not accounted for in this analysis,
although we have many other apparent {ą/ų} matches.",,1
146,{},146,thick,"It appears we may have a little phonosymbolism here in the vocalism. We
may also have mixed sets. Swanton describes “â” (as in **BI**) as “like the
{o} in {stop}” (DS-4). Haas (1968) recorded **BI** {o} often as very
open, so the **BI** form cited here could have either an {o} or an {a}.

The vowel length and accentual pattern suggest that this lexeme normally had
an initial syllable or prefix (as most stative verbs). **CR** {shúhka} ‘wide
(strip)’ GG-56 is comparable to **HI** {cuhka} ‘flat, bottomland’, forms
which do not belong in this set.  The final vowel here is problematic.  MVS
shows non-ablauting |a|, but **BI** and **HI** suggest **PSI** |*i| or possibly |*E|.  We
cannot be certain which groups have reanalyzed the form.",,1
147,{},147,the,The **MA** form may be a switch-reference marker.  There is a **TU** cognate for the article.,,1
148,{},148,that (3),"**WI** and **ST** have voiced fricatives; all others are voiceless and the
discrepancy is unexplained.",,1
149,{},149,"that (2) > demonstrative, reference marker, relative","Cf. ‘**288**’ |†kʔų ~ kʔǫ|, and ‘**1098**’ and beyond > other, across (2). **HI** {kua} reflects an
earlier {*kuha}. Note the final {-h} in **HI** {kuh}. Final {-n} in
**CR** should be compared with **HI** {-ri} focus marker and {-ru} locative.",,1
150,{},150,that (1),"The **CA** entries appear to be quite flexible morphotactically and are
listed with both the prefixed and suffixed Siouan forms which are best
considered distinct morphemes.",,1
151,{},151,thank you,"The DH forms **OP** |†ðahą́-bi| ‘thanked him’ (JOD1890:194), **OS** |†ðahǫ́|
‘**151**’ do not really match phonologically.  |ra-| is most likely ‘by
mouth’, the instrumental prefix here.",,1
152,{},152,testicle (2),"Cf. ‘**153**’, the same root with the addition of {*-ka}.

The patterns of length and accent suggest a missing initial syllable,
almost certainly the inalienable possession prefix typically found
with external body parts.",,1
153,{},153,testicle (1),"The **CH** clusters are unexpected; {šč} is probably secondary <
{hǰ}. The **OP**, one **DA**, and MRS forms show different fricative symbolism
grades. The vowel length pattern in **WI** suggests that initial {a-} was
once present in this language. Ordinarily, all MVS languages agree on
fricative voicing. This is a rare exception. This term seems to have
undergone multiple derivations and meaning shifts. The reconstruction seems
fairly secure however with the original meaning ‘kidney’.",,1
154,{},154,ten (2),"At the moment we can only be certain of the northern forms. **TU** may not
be related. This may be an ancient root however, as there are potentially
**CA** and even **WO** cognates.",,1
155,{},155,ten (1),"James 1823:lxxxii, lxxviii. 10 kra1-ba3-ra2 fa1te; fa3ll; fa2r {†grebða} 20 kra1-ba3-ra2-no2m-ba3 mo2ve
These show that in 1823 **OM** still had the final syllable cluster.  **BI** is
doubtful as **PSI** {*wr} usually > {d} there. **OF** is equally doubtful. As
for the **LA**, we already have a number of instances of {*r > čh} when
preceded by possessive {i-}. It is possible that the {i} of the
preceding syllable here has had the same effect. Then, barring any evidence
of a **PSI** {*y} in other languages, the best reconstruction might be **PMV**
{*kré•wrą} rather than {*kyé•wrą}.",,1
156,{},156,temporal subordination,compare |-ta| ‘**613**’.,,1
157,{},157,tell,"Cf. ‘**266**’.  The derivational morphemes, {*o-} and {*-ke}
are so widespread that we suspect that the one or two cases in which they are
lacking represent instances of loss, not independent constructions. The last
of the **TU** forms shows a suffixed reflex of {ʔǫ} ‘do, aux.’. The **BI** forms
are not technically cognate since they have {t} and {i} where they
should have {d} and {a}. The case for the end reconstruction is just
as strong without them however. Overall, this verb appears to be a doublet
of {*ra-} the ‘**556**’ prefix with the requisite
derivational paraphernalia. This would match Siebert’s analysis of the **CA**
cognates for Siouan instrumental prefixes according to which all were active
verbs which participated in serial verb constructions in **CA**.",,1
158,{},158,teen formative,"This seems to be a specialization of ‘**1176**’. In **LA** the inherited, unaspirated teen formative has merged
with (been replaced by) the near homonym |akhé| ‘again’. **CH** and DH use
reflexes of {*a-krį} ‘sitting upon’ to form numerals between ten and
twenty.",,1
159,{},159,tear,"The forms here all typically accent the root but have neither
aspiration nor vowel lengthening. This, then, is the sort of stem
that causes us to interpret those phenomena as at least marginally
phonemic.  Cf. ‘**940**’.",,1
160,{},160,tail (2) > bird tail,"In **CR**, **HI**, **MA** this root is in homonymic clash with ‘**971**’.  There
has been compounding with, or contamination from, {hį} ‘**737**’ in DH and possibly other languages. The final vowel in DH has
undergone analogical change to join the widespread set of {-e} stems. The
back vowel in various forms is unexplained, but cf. ‘**161**’.  We
reconstruct |*i•| in **PSI** under the assumption that sporadic rounding before a
labial obstruent is the more likely reformation.  Cf. ‘**742**’.",,1
179,{},179,suck (2),"**OP** may show the unextended root, though all of DH is problematic
because post-accentual |*p| is generally retained. Dakotan |-e-| is
unexplained, though note the correlation of |e| with |x| and |o| with |ɣ|.

**LA** |ɣ| is not explained since |x > ɣ| only postonically. DH probably has
{ɣ}, mistranscribed as {x} by most workers because, unlike the other
pairs of fricatives, this one does not involve voicing. DH has a different
root extension.  **OF** seems to show the same two vowels that we find in **LA**.

|s| and |š| apparently do not contrast in **OF**, and both are reflexes of **PSI**
|x|.",,1
753,{},753,grease (1),"Generally, this is an inedible grease, as opposed to ‘**752**’.",,1
161,{},161,tail (1),"**MA** rounding is unexplained, but this is not the only example of such
rounding. **MA** rounding occurs before a labial in ‘**971**’, ‘**984**’, and
‘**272**’ (this last supported by a round vowel in **HI**). **MA** rounding occurs
before non-labials in this word as well as ‘hand’ and ‘**833**’ (the last again
supported by a round vowel in **HI**). ‘**636**’ suggests that there may have been
some rounding variation already in **PSI**.  The accentual and vowel length
pattern here is best explained in terms of a prefix of inherent possession,
even though such prefixes are normally found with parts of the human body
(and kin terms). **CH** and **WI** have a related form {*šį́•te} ‘whole bottom,
rump, rear end (all animals, birds, etc.)’ (JDH). It is fairly common for
fricative symbolism to relate groups of nouns in this fashion.  **ST** may have
a reflex of |š|, as otherwise |θ| would be expected.",,1
162,{},162,"sycamore ? (birch, maple)","These forms mean either ‘white tree’ or ‘white-barked tree’; such
descriptive constructions are very apt to have developed independently, and
we really have no way of knowing whether they are cognate or not. The **KS**
form at least has compound stress; other DH languages simply have a
descriptive phrase. The **CH**/**WI** and DH forms could, in principle, be
contractions of the fuller **LA** form with dropping of the intervocalic
{-h-}. If the **HI** is cognate, it must be a relict form; neither {*ha}
‘**316**’, nor {*są} ‘**40**’ being preserved in **HI**.  Cf. ‘**31**’.",,1
163,{},163,swell (4),"It is always difficult to distinguish cognacy from sound symbolism with
these {po ~ pu} ‘puff’ words since every language has them. **CR** and **HI**
also show {š} grade.  **CR** seems to preserve an earlier long vowel which in
some derived forms shortens and raises in both **CR** and **HI**.",,1
164,{},164,swell (3),"See ‘**166**’, also the ‘**343**’ prefix.

Virtually every language in the world has a word meaning ‘swell, blow up,
inflate’, etc. with the canonical form PUH where H is zero or nearly any
fricative. Cf. English puff. Sound symbolism plays an important if not
predominant role here.  Compare howl for {*o•he > **HI** u•a}.",,1
165,{},165,swell (2),"The **CA** forms are presumably not both cognate with the Siouan forms, but
out understanding of Siouan/Catawban sound correspondences does not permit
us to determine which properly fits.  Sound symbolism is evident here also.",,1
167,{},167,sweet (2),"Cf. ‘**168**’ for the corresponding s-grade, and for comments
on the reconstructions.",,1
168,{},168,sweet (1),"Cf. ‘**167**’ for the corresponding |š|-forms. Both ‘sweet’
terms must be reconstructed together, and by and large they jibe. There are
three interesting questions. (a) Was there a vowel separating S from |k|?
We reconstruct one, as it appears in several languages and renders accent
and length in the second syllable completely regular. (b) What accounts for
the **MA** and **TU** nasalization? We have no answer, except to point out that this
is not the first time we have found aberrant nasalization. **MA** and **CH** are the
usual offenders. (c) The toughest and most interesting question obviously
involves the final syllable and the glide or consonant that introduces it.

It has generally been the case that **PSI** did not allow vowel sequences. So
**PSI** presumably had a phonetic glide preceding {-e}, which probably had
morphemic status.  We are unable to reconstruct the glide.  The second
element itself might be ‘**812**’, q.v.  As both **LA** and **HI** indicate, an earlier
gloss for this series might be ‘strongly flavored’; cf. also the ‘salt’
meanings with the |š|-grade.",,1
169,{},169,sweat,"Cf. **DA** {iní thí} ‘sweat lodge’. Several Dakotan forms with {-ni-}
suggest this stem is bimorphemic, probably {*wa-rį́} originally. It seems
likely that this form arose in MVS though, since if it were **PSI** it should be
treated exactly like ‘**56**’, with which it would have been homophonous.

Note that nasalization is complete only in Dakotan.",,1
170,{},170,swallow (bird),"Cf. **HI** {aʔriša} ‘crow (bird)’.  The reconstructed term is a compound
of ‘bird’ (q.v.) and an adjective. **KS** has a vaguely similar descriptive term
for this bird: {ǘbe žąkka} ‘forked tail’. **BI** {tcoká} ‘(to have) a
piece broken out at the top’ suggests that the reference in **HI**/**MA** may also
be to the swallow’s distinctively forked tail. (**BI** {č} < **PSI** {*š}
regularly).",,1
171,{},171,"surround, head off, intercept","**OF** exhibits the |x|-grade, as does **PCH**.  Assuming cognacy of the **OF** and
**PCH** forms for the moment, the lack of initial {*r} before the vowel in
**OF**/**PCH** suggests that this is the older form and that MVS has inserted a glide
between the locative prefix and stem that has been reanalyzed as a
stem-initial consonant. All three fricative grades appear to exist in this
set. Cf. ‘**172**’.",,1
172,{},172,surround,Cf. ‘**171**’.,,1
173,{},173,sunflower,"The **MA** form occurs in {maʔpéʔ ósere}, which may derive from {wa-}
‘**1180**’ + {ąp} ‘day, dawn’ + {ó-} ‘nominalizer’ + {sre} ‘to
bloom’, meaning ‘dawn flower’. The word is unusual, in that it has
third-mora accent.  The **HI** formation is similar: |wa•p-| ‘**924**’ plus |-ha•|
‘plant’ (compare **HI** |wa•cu| ‘cherry’, |wa•cua•| ‘cherry tree’).  The
sunflower is attested archaeologically all up and down the eastern plains as
a common food source. There is strong evidence that it was domesticated
fairly early. The fact that there do not appear to be cognates in most of
the languages may suggest further refinement in our chronologies for
subgroup development and/or may point to development outside the plains
area. However, cf. ‘**991**’.",,1
174,{},174,sun,"Cf. ‘moon’ (‘**565**’), generally the same as ‘**174**’; cf. also ‘**214**’. The
apparently sporadic nasalization of the initial syllable comes from the
second syllable via the expected nasal spread. The original accentual
pattern of this term is difficult to reconstruct, but this very difficulty,
plus the clear reflex of {*W} or an initial cluster in **CH** provides a hint
of the solution to the problem. {*W} seems always to represent a
conflation of a root-initial {*w} with a prefixed {*wV}, usually the
syncopated reflex of absolutive {*wa-}. Thus there was an initial
syllable. The long vowel in **CH**, **MA** and **TU** (expected on the second syllable)
supports this analysis also, as does the intriguing cluster recorded by
Voegelin. **CR**/**HI** would be expected to have a long vowel, but they do not. **HI**
at least shows variable accent. Cf. ‘**292**’ and ‘**237**’ for similar
phonological sequences.",,1
175,{},175,summer,"Cf. ‘**601**’, ‘**593**’.  This is one of the few nice, polysyllabic sets
containing clear reflexes of **PSI** {*R}.",,1
186,{},186,strike (4),"The following **LA** forms show {š} grade of this root: **LA** {štaka,
íyapa-} ‘be taken by surprise’ B-251; **LA** {štaka, íyopa-} ‘excite,
incite, encourage, actuate, urge’ B-259; **LA** {štaka, iyú-} ‘soften,
make soft, press’. B-809; **LA** {štáka, ka-} ‘strike, beat, whip’
B-292; **LA** {štaka, awó-} ‘rebound, as an arrow on something
hard not going in’ B-101 The following **WI** forms show {s} grade
of this root: **WI** {sták, boo-} (‘dent by shooting, blowing,
great force’, Lk-20.2fb) KM-84; **WI** {sták, gi-} (‘pound flat, dent’, Lk-19.18fb) KM-400; **WI** {sták, nąą-} ‘step on someone’s
foot’ KM-2223; **WI** {sták, ra-} (‘dent with the mouth’, Lk-19.13fb)
KM-2565; **WI** {sták, wa-} ‘flatten by pressing with palm’ KM-3472",,1
187,{},187,strike (3),"**OS** |†nąstáke| ‘trample down’ (LF-113) shows this root with an extension.

Cf. numerous partial cognates in the {s} and {š} forms.  Cf. ‘**574**’ for a homonymous root.",,1
191,{},191,stretch (2),"**OP** |ðizízi, gazízi| ‘stretch’ (JOD1890:166) shows this root without the
extension.",,1
192,{},192,stretch (1),Cf. ‘**8**’.,,1
193,{},193,strawberry,"This term shows all the earmarks of a borrowed and adapted form. There
have been different reanalyses in the different subgroups. **CH** and **WI** show
possible contamination from {ha•s-} ‘**1101**’. **KS** folk etymologizes the
initial syllable as {ppą} ‘nut’. And cf. **DA** {wašté} ‘good’. **QU** has
competing forms, some with {s}. The **BI** form (also with {s}) is
analyzed by Dorsey and Swanton as consisting of {así} ‘berry’ and an
unidentified, compounded element, (like the **CH**/**WI** forms), but it could just
as well be yet another restructuring of the same elements found in MVS. **LA**
{†wazíškeca , wazíśk̇eca} ‘**193**’ B-575a represents yet another folk
etymology.",,1
195,{},195,store away,"The expected **QU** form from {*tku} would be {ttí} via the
normal metathesis and assimilation of the cluster and fronting
and unrounding of {u}.",,1
197,{},197,stop (1),"The **WI** form is truly anomalous; it should have {sǰ} rather
than {st}.  |st| should not even be admissible in **WI**.  The remaining DH
languages have the |š| form of this root.  The **ST** form here is probably also
reflects the |š| form as the expected reflex of the |s| form would be |-θtą|.",,1
198,{},198,"stomach, paunch","Another instance of initial {n-} in MVS that is wanting in MRS and
OVS. The most likely analysis is that it represents the epenthetic glide
that is inserted preaccentually between a prefix vowel and vowel-initial
stem. If the prefix is the bound inalienable possessor prefix, {i-}, **DA**
would have modern initial {čh} in place of {n} however. The prefix
vowel was probably the {a} still reflected in **BI**. **CR** and **HI** evidently
reflect the form without the {a} prefix or epenthetic glide. **CR** {ia}
is from {i•} before {x}. **MA** initial {e•} might reflect collapse of
an earlier {a-i}; however, the **MA** final vowel is wrong and suggests a
possible borrowing from a **CR** or **HI** dialect. The final vowels vary widely
throughout the set and cannot really be accounted for at all.",,1
199,{},199,stink (3),"Cf. ‘**201**’, also ‘**671**’ for correspondences. **KS**
‘**516**’ is sometimes analyzed as {mąžą́} ‘earth’ and an unidentified
derivational suffix {-ɣe}, but comparison with **DA** here shows that to be a
folk etymology. It now seems clear that **LA** ‘sweetgrass’ is cognate, and the
earlier meaning was not ‘earth-something’ but ‘that which smells
(strongly)’. Nasalization of the initial syllable in **KS** either took place
via the usual nasal spread before {*y > ž}, or represents a native
attempt to justify the folk analysis.",,1
200,{},200,stink (2),"This root seems clearly a product of symbolism, although it may also be
partially inherited in some cases. There are too many {w}’s between nasal
vowels for these to be cognates. The {w}’s should have all become
{m}’s long ago in most of the languages represented here. We suspect that
there is an inherited portion of the form that is related historically to
the **CA** forms, but we would not propose a **PSI** reconstruction because of the
obvious intervention of sound symbolism.",,1
201,{},201,stink (1),"Cf. ‘**1003**’ for correspondences. Cf. also ‘**199**’. While it is possible that these, primarily MVS, {kw} clusters may
turn out to have **PSI** sources, they do not occur in really basic vocabulary,
and it seems much more likely that they represent early borrowings. the **TU**
analog is clearly related historically in some way, but it has undergone
irregular syncope or metathesis, showing that it is not a cognate in the
accepted sense of the word. It may represent a borrowing from a different
but related language or adoption at a different time. **BI** may have been
contaminated from {yaⁿxí} ‘strong odor’. The dissimilation product should
be {n} rather than {y}, but the semantic match is so exact that the **BI**
word must be related to this term in some way. All of the forms taken
together suggest something like {kuwųsa, kumusa, kumuswa} or the like,
but we do not suggest them as **PSI** reconstructions, rather they may represent
a shape to search for in a potential source language.",,1
202,{},202,stiff,"There are at least three other instances of {kS-} in **WI** matching
initial sibilants elsewhere. Cf. ‘**535**’, ‘**458**’, ‘apple’ (under ‘**440**’). If the {k} were inherited, it would presumably have been
preserved in **LA**. This would not seem to be a case in which {*ki-}
‘dative, possessive’ would explain the **WI** form. The **PMV** form probably had a
long accented vowel.",,1
203,{},203,stick (7),Cf. ‘**574**’,,1
204,{},204,stick (6),"**CH** {*st > θt ~ ht ~ t}, so these are not aberrant forms. Cf. ‘**575**’",,1
205,{},205,stick (5),Cf. ‘**206**’,,1
206,{},206,stick (4),Cf. ‘**205**’,,1
207,{},207,stick (3),"**OS** |ðisképe| ‘to scrape’ shows this root with the |-pe| extension.

Likewise **KS** |yüskébe| ‘scrape, as the fat from a hide’.  **WI** forms may
also be from |ska|",,1
208,{},208,stick (2),**WI** forms may also be from |ske|,,1
209,{},209,stick (1),"**MA** {skap} ‘be wet’ has a different spirant grade.  The **CH** and **WI**
forms represent a compound with ‘**205**’ as the first element.",,1
211,{},211,steal (1),"Comparing the most conservative Siouan conjugational patterns and **CA**,
the oldest form of the root appears to have been {-rų}. It then seems
likely that the initial morpheme, {*mą(•)-} is the object prefix,
{wa-}, which has assimilated nasalization from the root and in some cases
undergone a little irregular vowel harmony. In such cases its identity
became opaque, and we see the same prefix reapplied in MVS. Frequent
reapplication of {wa-} ‘something’ leaves the old initial syllable in
second position, and vowel length has naturally shifted to it in MVS. The DH
forms look as though they have been additionally restructured recently. They
should have uniform reflexes of the final syllable {*-nǫ}. The oral
consonant, falling between two nasal vowels, betrays the reanalysis that has
occurred here. Evidently the initial syllable, {mǫ} (the older
incorporated object), was interpreted as the root, and the final syllable
was reinterpreted as an instance of **PDH** {*ʔǫ} ‘**905**’, the original
{n} was dropped and the common intervocalic glide, {r} inserted. The
**CR** and **HI** forms may be compounds of ‘**111**’ (**PCH** {*ašÉ}) and ‘steal’
(with reference, perhaps, to stealing by war parties). If so, ‘steal’ has
lost its initial {w} intervocalically and the final vowel has been
reshaped. The **CR** and **HI** terms may not be cognate at all.  **CA** appears only
to have the second root.",,1
213,{},213,star (2),"The first vowel of **MA** {kéxe} does not correspond to the {a} found
elsewhere in this set. Nasalization of the initial syllable vowel and
preceding consonant in this set is explained by the fact that this term
incorporates the term for ‘**565**’, q.v., in MVS. The latter term
apparently had nasalization in a second syllable that spread across the
glide to the first. This accounts for the nasalized reflexes of **PMV** {*W}
in DH. See ‘**565**’ for a fuller discussion of {*W} here and the
long vowel in **CH**.",,1
214,{},214,star (1),"The **OF** and **TU** forms resemble the established cognates here, but
contain numerous irregularities. The similarities between ‘**878**’ and ‘**214**’
led Matthews (1958:125) to consider them a single etymon. We have chosen to
regard ‘**878**’ and ‘**214**’ as a case of homophony rather than polysemy.",,1
215,{},215,"standing, inanim. classifier","The expected initial syllable syncope explains most of the cognates
here. DH aspirated stops seem clearly to be a secondary development from
syncope. **BI** |n| before an oral vowel reflects the earlier |*rh| cluster.  The
same explanation may account for **OF** |l| for expected |t|. In **MA**, the
development of underlying {rh} to surface {t} is explained by Hollow,
p. 42.  Synchronically, **LA** |he| has become connected to |hą|, cf. ‘**216**’.  **TU** |né| ‘stand, trans.; lean, trans.’ is
probably related.",,1
216,{},216,"standing, continue, standing positional","In **CH** and **WI** **PSI** {*hąke} ‘**216**’ and {*wųke} ‘**626**’ have fallen
together with loss of {*#w-} and replacement with {#h-}, cf. the 1st
person pronoun prefixes. {*hąke} has apparently yielded doublets in DH,
the classificatory auxiliary and definite article {t-hą} on the one hand
and DH forms using the root {-hą} with the meaning ‘raise’ or ‘rise’ on
the other: **OP** |ðihą́| ‘raise’ RR; **KS** |dahą́| ‘rise, of bread’ RR; **OS** |tahą́|
, |dahóⁿ| ‘rise, of bread’ LF-320b. In **HI** the continuatives are {wahku,
rahku, hahku}. On the development of {wahku, rahku}, cf. ‘**626**’. An inherited {*hą + kE} has presumably been reshaped to fit
the sitting/lying pattern with preaspirated {-hku}. Also in **HI**, the
plural stem for all three positionals is {ahku}, with which compare the
**CR** form. **TU** and **MA** show the {*kE} suffix.",,1
217,{},217,stand,"{na-} does not appear to be the ‘**810**’ here.

Cf. ‘**864**’ for the simple root.",,1
219,{},219,stab (2),"Cf. ‘**220**’.  The **BI** forms are doubtfully cognate as there is little
evidence of the vowel between {p_x}.",,1
220,{},220,stab (1),"Cf. ‘**219**’. It is possible that these forms with postaspiration in DH
were formed by syncope, i.e., from something like {*pVxe} or {*pVhe}
in which we might expect to find the vowel still preserved in **CR** and **HI**.

**PCH** preaspiration is unexplained.",,1
221,{},221,squirrel > ground squirrel,"Cf. **OS** |hexthiⁿ| ‘mink, ermine, weasel’ LF-59b. **WI** {héeraǰóx}
‘monkey’ KM-790. Within DH only **QU** preserves reflexes of {*hé•t-ka} (with
the usual metathesis and assimilation).",,1
222,{},222,squirrel > flying squirrel,"Cf. ‘**224**’.  This term too shows as much evidence of diffusion as
inheritance. The reconstructions should be considered extremely tentative.

Dakotan suggests a fused prefix, possibly **PSI** |*wi-|, found with many
anaimate absolutive animal terms, i.e., **PSI** |*wišíka| is a possibility.",,1
223,{},223,squirrel (2),"This may be a case of the intrusive {-t-} in both **OF** and **TU** or loss
in **BI**.  Cf. ‘**224**’. The various irregularities plus the geographical
distribution of this form make this a likely diffused form.",,1
224,{},224,squirrel (1),"Cf. ‘**222**’.  We note that entries with {į} have |s| while
those with oral {i} have {z}.  ‘**223**’ shows a nasal prefix that
would, if cognate with ‘**224**’, provide a nasalized and/or intervocalic
environment for voicing of the above fricatives. Otherwise, it looks as if
this is a diffused form more than a collection of cognates. Look-alikes in
Tunica and Keresan would tend to confirm this latter analysis. Even the
subgroup reconstruction should be considered insecure and extremely
tentative.",,1
225,{},225,squeeze (9),Cf. ‘**555**’,,1
226,{},226,squeeze (8),**QU** contains a {te} post-extension.,,1
228,{},228,squeeze (6),"Cf. the other two grades of this root. Several languages show this root
both with and without the extension {-ke}, cf. ‘**476**’. **CR** may or may not
fit; see comment under ‘**230**’.",,1
229,{},229,squeeze (5),"Cf. the other two fricative grades of this root. **CR** may or may not fit;
see comment under ‘**230**’.",,1
230,{},230,squeeze (4),"Note that sporadic nasalization of this root is fairly pervasive not
only here but in the other fricative grades as well.  **CR** |dúchkichi| ‘wring
out; milk a cow’ (GG-44, DEC-26) may belong to this set or may be cognate
with **HI** |nuckišE| ‘wash, squeeze juice out’ (J), **PCH** |*-ckišE|.",,1
231,{},231,squeeze (3),Cf. ‘**990**’,,1
233,{},233,squeeze (1),"Nasalization is irregular in either the **MA** or **BI** cognate. Without
further cognates it is impossible to know which because the two languages
should agree for this feature, but v. ‘**230**’ in which both nasal
and oral variants are common. Cf. ‘**485**’ The **CH** form shows a {p}
or {w} post-extension. Cf. ‘**231**’.  It fits phonologically
with the other set but semantically with this one.  Derivational suffixes
differ.",,1
234,{},234,sprout,"Cf. ‘**244**’, ‘**1127**’.",,1
235,{},235,spring (water) (2),Cf. ‘**1072**’.,,1
236,{},236,spring (water) (1),"‘**56**’ + ‘**981**’. May be an areal feature here, or might be simply a
parallel innovation.  **OP** |nihąga| is partly cognate.",,1
237,{},237,spring (season),"The **MA** form is probably {wé•hįnų•re}. **PBO** has nasalized and raised
the vowel of the first syllable, the nasalization then spreading to the theme
vowel. The initial {*a} in **PBO** argues for an old cluster here, as does the
{*W} in **PMV**. The first syllable in **PCH** probably arises from an old
compounding with {*są} ‘**711**’, q.v. **PCH** and **PSE** meanings seem to cluster
around ‘warm weather, feel warm, fever’, which may have been the earlier
gloss, with semantic extension to ‘spring’. ‘Snow’ and ‘**174**’ provide a
similar phonological sequence. Since initial labial resonants, {w-} and
{m-}, were lost in both **BI** and **OF**, it is probable that the initial
syllable was absolutive {*wa-}. This reduces through the usual syncope to
{*w-wé•-} and thence to {*Wé•-}. We suspect the **OF** {amį•hų} and **BI**
{amihǫ} forms are cognate with the MVS forms from {*We•hą} in **DA** and
perhaps **WI**. Whether these go back to a compound of {*(wa-)Wé•h-ʔų} in
which {*ʔų} is ‘**905**’ (‘past’ auxiliary in the SE and in **CH**), is very
difficult to say. The cognates here are obviously morphemically complex, but
a definitive analysis of the postposed morphemes is elusive. A nasalized
suffix is required in order to account for nasalization of the accented vowel
in **BI** and **OF**. This is also another clear instance in which **OF** {hC}
clusters surface as {Ch}, illustrating once again how Siouan aspiration
really works historically.",,1
238,{},238,spread out,"Some of the **HI** forms may go with ‘**380**’, q.v.  Cf. ‘**672**’ for a homonym,.",,1
239,{},239,spread > flat (5),"The only clue as to whether this reconstruction should have **PSI** initial
{*wa-r-} or {*par-} comes from **OF**. Normally unaccented {*wa-}
leaves {a-} in both **OF** and **BI** where initial labial resonants were lost,
so the reconstruction should be with {*pa-}. This is not the homophonous
instrumental prefix, as that prefix would never have undergone syncope in
MVS. Forms here appear to be in complementary distribution, semantically,
with forms found under ‘**431**’.",,1
241,{},241,spread > flat (3),"The various ‘spread > flat’ (e.g. ‘**243**’) terms (several related derivationally
by fricative symbolism) apparently differ systematically from the many
instances of {br, bl}, etc. clusters in which the {b} is a reflex of
**PSI** {*wa-}. The present cases go back to a **PSI** initial syllable {*pa}.

The evidence is found in the OVS languages and in **MA**, but all the terms must
be examined in order for this to become clear. Since, in **PSI** the modern
instrumental prefixes were not subject to initial syllable syncope and so
are probably best thought of as having been proclitics, the {*pa} of
these terms cannot be identified with the instrumental prefix of the same
shape. Vowel length is also reconstructed examining the entire set of related
terms.  The **OF** term supplied here shows the additional derivational suffix
common to many of these related roots. Forms here appear to be in
complementary distribution, semantically, with forms found under ‘**429**’.",,1
242,{},242,spread > flat (2),"This is one of several entries in which **HI**, **BI**, and/or **OF** forms suggest
an initial **PSI** {*pá(•)rV-} sequence. MVS, **MA** (and perhaps **BI**) evidently
shift the accent rightward one syllable, undergo the usual initial syllable
vowel syncope, and produce the cluster that is a conflation of earlier
{*pr-} and {*wr-}. Forms here appear to be in complementary
distribution, semantically, with forms found under ‘**431**’",,1
244,{},244,spread (3),"This is one of several entries in which **HI**, **BI**, and/or **OF** forms suggest
an initial **PSI** {*pá(•)rV-} sequence. MVS, **MA** (and perhaps **BI**) evidently
shift the accent rightward one syllable, undergo the usual initial syllable
vowel syncope, and produce the cluster that is a conflation of earlier
{*pr-} and {*wr-}. Compare ‘**242**’, ‘**239**’,
‘**241**’, ‘**244**’, ‘**234**’.  In this set however
there is a lack of matching between MVS and the other subgroups for
nasalization, so the MVS forms may not be cognate even though the meanings
are similar.",,1
247,{},247,spouse,"If **OF** {t} is from PS {*r}, as it would have to be in order to be
cognate with Omaha-Ponca {ð}, then it should not be aspirated. So **OF**
should probably be analyzed as {ithá} ‘his, someone’s’ and {inani}
‘spouse, wife’. This analysis would not only explain the aspiration but
would account nicely for the otherwise very peculiar vowel that Swanton
recorded: {á + i > ä´}.",,1
248,{},248,spotted > striped,**MA** form is probably {pų́•soʔš}.,,1
249,{},249,spotted (2),"Cf. ‘**587**’ {s} and ‘**585**’{š} grades.  **MA** form is probably
{pų́•xoʔš}.  Cf. ‘**1076**’.  The **OF** form may also be influenced by
‘drum’, **OF** |†ąphó•ska|.",,1
