pk,phonetic,comment,original_entry,other_reconstructions
2922,,,,
2923,†-ɣi,,"†-ɣi gí, ka- ‘stop one’s progress, to be in one’s way, as a river; not to be able to proceed; to hold in esteem to respect’ B-272",
2924,†-ɣi,,"†-ɣi gi, opú- ‘push into, as hay into moccasins; to stuff, fill, as with hay’ B-403",
2925,,,,
2926,,,"sása, ona- ‘be kicking around’ LWR-22",
2927,,,"šaša, oną́- ‘struggle kicking’ RR",
2928,,,,
2929,,,,
2930,,,,
2931,,,"-teʔš, ka- ‘he pounds it, shoots a gun’ H-247",
2932,,,kathátha ‘blunt by striking’ B-293a; Deloria notes,
2933,†ųthé,,†ųthé “uⁿthĕ´” ‘fall’ DS-331b,
2934,,,"gičé ‘strike, knock off a piece’ KM-321",
2935,,,,
2936,†kathátha,,†kathátha “kat’át’a” ‘make blunt by striking’ R-270a,
2937,,,"gattáya, gattáttaya ‘knock to pieces’ RR",
2938,,,"(x)the ‘pound, grind’ J (?)",
2939,,,,
2940,†kahtáða,,†kahtáða “gaṭátha” ‘crumble or ruin’ LF-138b,
2941,,,,
2942,,,"šta•, ara- ‘trample’ J",
2943,,,"šta•, ná- ‘chew’ J",
3304,,,ataalí ‘steal’ GG-13 (?),
2944,,,"-schii, dá- ‘chew’ GG-42, DEC-31",
2945,,,,
2946,,,,
2947,,,"šca, ogá- ‘flatten by action of the water’ RR",
2948,,,,
2949,,,,
2950,,,daxtá ‘bite’ RR,
2951,,,"xtaka, iwó- ‘hit or strike against, bump’ B-247",
2952,,,"xtáka, na- ‘kick anything’ B-345",
2953,,,"kíxtaxtaka, na- ‘kick one’s own e.g. horse’ B-349",
2954,,,"xtaka, waká- ‘be easily hurt, touchy, nervous’ B-525",
2955,,,"xtáka, wo- ‘pound, punch or knock with the end of anything’ B-598",
2956,,,"xtáka, ya- ‘bite, to take a hold of with the mouth’ B-620",
2957,,,raxdáge ‘bite’ RR,
2958,,,yaxtáka ‘bite’ PAS,
2959,,,"xják, nąą- ‘kick, v.tr. (person)’ KM-2268",
2960,,,"xják, ra- ‘bite (as, animal)’ KM-2582",
2961,,,,
2962,,,,
2963,†yaxtáka,,†yaxtáka “yaḣtáka” ‘bite’ R-606a,
2964,,,"xtáge, ya- ‘bite, as dogs, horses, etc.’ RR",
2965,,,,
2966,,,"xtaki, nú- ‘fumble around in, e.g. a purse’ J",
2967,,,"xtaki, pá- ‘poke, nudge’ J",
2968,,,,
2969,,,,
2970,,,"xsachi, pá- ‘massage, knead’ GG-53",
2971,†ðaxtáke,,†ðaxtáke “thaxtáge” ‘bite’ LF-142b,
2972,,,,
2973,,,,
2974,,,"stá, ka- ‘strike, fall on’ RR",
2975,,,"sta, íbo- ‘punch at with, nudge with’ RR",
2976,,,"stá, ną- ‘kick someone, as a human, not as an animal’ RR",
2977,,,"stá, ga- ‘hammer flat, beat until flat and long’. RR",
2978,,,"stá, ya- ‘chew on, flatten by chewing’ RR",
2979,,,núcata• ‘squash sth.’ AWJ,
2980,,,"pácata• ‘press down hard, flat; smash, mash, crush’ AWJ",
2981,,,aracáta• ‘mash w. foot’ AWJ,
2982,,,"nakcáta• ‘smash flat, crash’ AWJ",
2983,,,,
2984,,,nąstá ‘step lightly’ JOD,
2985,,,,
2986,,,"tté, ną- ‘kick (said of animals in KS)’ RR",
2987,,,katpá ‘strike’ R-271b,
2988,,,waččé ‘count coup; victory’ RR,
2989,,,"ččé, ną- (JOD) ‘kick up the heels, animal kicks, man dances’ RR",
2990,,,,
2991,†wahcé,,†wahcé “waṭsé” ‘victorious returning with a large warparty’ LF-205b,
2992,†nątté,,†nątté “noⁿte” ‘kick’ SW-107,
2993,,,,
2994,,,u•ǰį́ ‘strike’ RR,
2995,,,"othį́ ‘hit’ JOD,RR",
2996,,,"hįhé ~ hįhą́ ‘fall, as rain or snow’ B-176b",
2997,,,hįxpáya ‘fall’; hįxpéya ‘throw down’ B-176b,
2998,,,,
2999,,,ti•ʔtí•ʔhαde ‘beat it up do’ SP-109,
3000,,,"hoǰį́, ruǰį́ ‘hit’ KM-1709",
3001,,,,
3002,,,očhį́ ‘hit’ RR,
3003,,,,
3004,,,,
3005,†óchį,,"†óchį “útsiⁿ” ‘maul, beat, pound’ LF-180b",
3006,,,,
3007,,,othį́ ‘hit’ RR,
3008,,,,
3009,,,"-sį́hoʔš, ka- ‘he stretches s.t. out’ H-206",
3010,,,,
3011,,,"žį́, howa- ‘stretch (e.g., skin) out to dry, put in a form to dry’ KM-1566",
3012,,,,
3013,,,,
3014,,,"zíke, bi- ‘stretch from pressure/weight’ RR",
3015,,,"zíke, da- ‘stretch with the mouth’ RR",
3016,,,"zíke, di- ‘stretch by pulling’ RR",
3017,,,"zíke, ną- ‘stretch sth. by treading on it’ RR",
3018,,,"zilya, ka- ‘stretch out, straighten’ B-296",
3019,,,"zíča, na- ‘over-stretched, as a machine belt that becomes too wide; to stretch e.g. a rope by means of the knees or feet’ B-362",
3020,,,"zíča, pa- ‘roll out or stretch with the hand, to stretch by pressing against’ B-438",
3021,,,"zígziča, yu- ‘stretch, make pliable’. B-657",
3022,,,"zíča, ya- ‘stretch anything with the teeth’ B-632",
3023,†pazíča,,"†pazíča “pazíća” ‘rub, roll out or stretch with the hand; stretch by pressing against’ kR-417b",
3024,,,,
3025,†pazíke,,†pazíke “baçi´ge” ‘spiked’ LF-19,
3026,,,,
3027,†ðizízi,,†ðizízi ‘stretch’ JOD1890:166,
3028,,,iáda (1sg. iábda) ‘yawn’ JOD,
3029,,,,
3030,,,,
3031,,,í•hwere•roʔš ‘he yawned’ C,
3032,,1s iyo-wa-ya,"iyóya ‘yawn, gape’ (1s iyo-wa-ya) C",
3033,,,“i^ára” ‘yawn’ JGT92-29,
3034,,,ʔiyaára JWE,
3035,,,,
3036,,1s iyo-wa-wa,iyówa ‘yawn’ (1s iyo-wa-wa) R-237,
3037,,,,
3038,,,,
3039,,,í•ra• ‘yawn’ J,
3040,,,,
3041,,,ihkalaá ‘stretch oneself’ GG-74,
3042,,,"hášče ‘strawberries’ Marsh, RR",
3043,,,paštéka ~ mastéka ~ wasteka ‘strawberries’ RR,
3044,†wažušteča,prob. Yankton,†wažušteča “wazhushtecha” ‘strawberries’ Gilmore-1919:89 (prob. Yankton),
3045,†ástepáx,|kotká| ‘wild’,†ástepáx “ástĕpáx kotká” ‘strawberries’ (|kotká| ‘wild’) DS-174b,
3046,,,"haašǰék, haasǰék ‘strawberries’ KM-536",
3047,,,,
3048,†wažúšteča,,†wažúšteča “waz´úśteća” ‘strawberries’ R-563b,
3049,,,ppąščéga ‘strawberries’ RR,
3050,,,,
3051,,,,
3052,,,pašcéka ‘strawberries’ JOD,
3053,,,bašté ‘strawberries’ RR,
3054,,,,
3055,,,lothą́ Marsh,
3056,,,dottą́ ~ dottǫ́ JOD,
3057,,,“yuótaⁿ” ‘make straight’ B-646b,
3058,,,"roočą́ ‘be straight, be in a straight line’ KM-2627",
3059,,,,
3060,,,yóttą ‘straight up’ RR,
3063,†-ðohtą,,†-ðohtą “-íthuṭoⁿ” ‘in a straight line’ LF-80a,
3064,†ðottą́,,†ðottą́ “thutoⁿ´” ‘beeline or straight’ SW-278,
3065,,,,
3066,,,"wattíxe ‘cache, cellar’",
3067,,,"cgús, waru- ‘be stored away’ KM-3445",
3068,,,"cgús, howa- ‘do a work completely’ KM-1540",
3069,,,"cgús, ru- ‘store away’ KM-2658",
3070,,,,
3071,,,,
3072,,,,
3073,,,"tkuga, paó- ‘push and thereby lock, e.g., a door with a night latch’ B-432",
3074,,,"tkuga, yuó- ‘lock a door with a key or by hand’ B-646",
3075,,,,
3076,†rustą́,,"†rustą́ “rustã” ‘let go, stop, cease’ LWR",
3077,†rustą́,,rustą ‘stop’ LWR-26,
3078,†rustą́,,rusdą LWR-71,
3079,,,ádištą ‘stop’ JOD,
3080,,,"štą, áda- ‘stop oral activity’ RR",
3081,,,"štą́, di- ‘finish, complete’ RR",
3082,,,yuštą́ ‘finish’ C,
3083,,,"štą́, ya- ‘finish speaking, to keep quiet’ B-629",
3084,,,"štą́, yu- ‘finish anything, to perfect; to settle e.g. a question in a meeting; to have decreed’. B-653",
3085,,,yuštą ‘finish’,
3086,,,rušǰą́ ‘stop (activity)’ KM-2734,
3087,,,"šją́, mąą- ‘be strong (physically), hard; be loud’ KM-2026",
3088,,,"šją́, nąą- ‘release, Lk-18.8’ KM-2242",
3089,,,"šją́, ra- ‘stop telling, finish telling’ (FW) KM-2574",
3090,,,"šją́, ru- ‘stop, v.intr. (activity)’ KM-2734",
3091,,,,
3092,,,,
3093,,,,
3094,,,,
3095,,,,
3096,,,"yuštą ‘finish, stop’(PAS)",
3097,,,áyüštą ‘stop’ RR,
3098,,,"štą, bá- ‘stop cutting or sawing’ RR",
3099,,,"štą́, ba- ‘stop pushing sth.’ RR",
3100,,,"štą, bó- ‘stop shooting, blowing, etc.’ RR",
3101,,,"štą́, bü- ‘stop, cease rubbing, pressing’ RR",
3102,,,"štą, dá- ‘stop burning, as a fire’ RR",
3103,,,"štą́, ga- ‘stop hitting, stop blowing’ RR",
3104,,,"štą́, ną- ‘stop moving and stand still’ RR",
3105,,,"štą́, ya- ‘stop eating, drinking, talking, crying’ RR",
3106,,,"štą́, yü- ‘stop, be finished, let go’ RR",
3107,,,,
3108,,,,
3109,,,yuštą ‘finish’,
3110,†ðüštą́,,"†ðüštą́ “thishtóⁿ” ‘stop, finish’ L-149",
3111,†ðüštą́,,áðüštą ‘stop’ JOD,
3112,,,,
3113,†ðištą́,,†ðištą́ “thishtoⁿ” ‘finish’ SW-77,
3114,†ðištą́,,áðištą ‘stop’ JOD,
3115,,,,
3116,,,,
3117,,,"ádistą ‘stop, cease’ CS/RR",
3118,,,*-stą,
3119,,,-stą ‘stop’,
3120,,,"haku rustą́ ‘go to sleep, said of arm/leg, etc.’ KM-2869 (?)",
3121,,,,
3122,,,-stą ‘stop’(PAS),
3123,†stą́hį,,"†stą́hį “stáⁿhiⁿ” ‘enough, reach, sufficient’ DS-258a (?)",
3124,,,-stą ‘stop’,
3125,,,,
3126,,,ttaníɣa ‘animal’s belly’ JOD,
3127,,,,
3128,,,,
3129,,,é•xi ‘stomach’ C,
3130,,,niɣé ‘stomach’ C,
3131,,,"nį́•xa ‘upper stomach’ C, RR, JDH",
3132,†ayíxi,,"†ayíxi “yíxyaⁿ, ayíxi, ayíxiyaⁿ” ‘stomach, paunch’ DS-293a",
3133,,,nįįxá KM-2359,
3134,,,,
3135,†niɣé,,†niɣé “niġé” R-340b,
3136,,,nį́ɣa ‘animal’s stomach’ RR,
3137,,,,
3138,,,"í•xi ‘tripe, paunch, first stomach of a ruminant’ J",
3139,,,,
3140,,,,
3141,,,"íaxa ‘tripe’ GG-71, DEC-104",
3142,,,,
3143,,,"níxa C, RR",
3144,,,,
3145,,,"ną́xe ‘be stinky, acrid’ Marsh",
3146,,,wačhą́ɣa ‘sweetgrass’ EJ,
3147,†yąxí,,†yąxí “yaⁿxí” ‘strong odor from a goat’ DS-290b,
3148,†yąxí,,“nto yaⁿxí” ‘the odor from a negro’ DS-290b,
3149,,,"ną́ąx ‘smell of urine, bad smell’ KM-2262",
3150,,,,
3151,,,mažą́ɣe ‘onion’ RR,
3152,,,,
3153,,,,
3154,,,,
3155,,,,
3156,,,xų́•pe ‘stink’ C,
3157,,,"xųwį́ ~ xwį́ ‘stink, become putrid, as does meat’ C",
3158,†išúhi,,"†išúhi “ĭshúhi” ‘stink, smell bad’ DS-324a",
3159,,,sų́wə ‘smell’; sųwi•tcúwe SP-105 ‘stinks much will’,
3160,,,,
3161,†xúhi,,"†xúhi “xúhi, xyúhi, xuhí” DS-197b",
3162,,,xųųwį́ ‘have pungent odor or stink’ KM-3959,
3163,,,,
3164,,,"xųwį́ ~ xwį́ ‘stink, become putrid, as a dead body’ R-168",
3165,,,xų́•mį ‘stink’ RR,
3166,,,,
3167,,,,
3168,,,"xowį́, xwį́ ‘stink’ JOD",
3169,,,,
3170,†xwį́,,"†xwį́ “xwíⁿ ” ‘fetid, offensive smell’ LF-221b",
3171,,,,
3172,,,“xuíⁿ ” SW-164,
3173,,,,
3174,,,gmų́za ‘strong or fishy smell’ v. B-162a,
3175,†kupsuá,,†kupsuá “wihóoq gupsuá” ‘fishy smell’ Hw (?),
3176,†yąsí,,†yąsí “yaⁿsí” ‘having a fishy odor’ DS-290b (?),
3177,,,čųwų́s ‘fishy smell or taste’ KM-288,
3178,,,,
3179,†hmų́za,,"†hmų́za “hmuŋ´za” ‘slimy, fish-like, smelling strong, like spoiled meat’ R-150b",
3180,,,"lǫ́ze, lóze ‘smell of food or smoke’ JOD",
3181,,,,
3182,†lą́ze,,†lą́ze “gthóⁿçe” ‘smell of spoiled food’ LF-55b,
3185,†waθáda,,†waθáda “watháda” ‘straighten out’ JGT92-86,
3186,,,"sáta ‘drying pole, kettle pole’ C",
3187,,,ksáač ‘stiff’ KM-1889,
3188,,,,
3189,,,sáta ‘the horizontal stick on which the kettle is placed’ R-431b,
3190,,,"sáda ‘stiff, straightened out’ RR",
3191,,,,
3192,,,,
3193,†sáta,,"†sáta “çáda, çadá” ‘stiff, rigid, stiff-jointed’ LF-29a",
3194,,,,
3195,,,,
3196,,,"sta, ába- ‘patch’ RR",
3197,,,"hirustą ‘plastered with, be’ KM-2869",
3198,,,,
3199,,,áyasta ‘stick together’ RR,
3200,,,"íyüsta ‘stick, tie to’ RR",
3201,,,"sta, ába- ‘patch, put on a patch’ RR",
3202,,,"sta, áya- ‘adhere, (one object), stuck’ RR",
3203,,,,
3204,†áhkiðasta,,†áhkiðasta “áḳithaçta” LF-12a,
3205,†ápasta,,†ápasta “ábaçta” ‘patch’ LF-302b,
3206,†áðüsta,,†áðüsta “áthuçta” ‘bind’ LF-235a,
3207,†ákkiðasta,,†ákkiðasta “ákithaçta”,
3208,,,,
3209,,Ioway,awátage ‘patch’ Ioway,
3210,,,abátage ‘patch’ Otoe LWR-65,
3211,,,awáhdage ‘patch’ JGT92-199,
3212,,,"akástaka ‘throw or daub on e.g. plaster, to bespatter’ B-69b",
3213,,,"okástaka ‘throw on or in, make stick on, as in daubing a house’ B-385",
3214,,,"okástaka ‘throw on or in, make stick on, as in daubing a house’ R-363a",
3215,†nə́ftəki,,†nə́ftəki “nạ́ftạki” ‘tie’ DS-326b,
3216,†staki,,†staki “ádustûkí” ‘adhere or stick to’ DS-180,
3217,†staki,,"“staḳ, apástaḳoⁿní” ‘patch’ DS-257b",
3218,†staki,,“kĭpstûkí” ‘sewed together; a seam’ DS-249,
3219,†staki,,“kĭpstûkyĕ´” ‘sew together’ DS-249,
3220,†staki,,"“apstû´ki, apstûkí” ‘sew habitually’ DS-249",
3221,,,hawasták ‘patch’ KM-721,
3222,,,,
3223,,,iyáyüstáge ‘binding for cradleboard’ RR,
3224,,,"stáge, áyü- (JOD) ‘tie together’ RR",
3225,,,,
3226,,,,
3227,,,,
3228,,,,
3229,,,,
3230,,,aláha ‘stick on’ Marsh,
3231,,,áda ‘glue feathers on arrow’ JOD,
3232,,,o-yá ‘stick to’ B-417a,
3233,,,o-yá ‘stick to’ R-396b,
3234,,,"áyaha ‘stick to one, to wear’ RR",
3235,,,,
3236,†áðaha,,†áðaha “áthaha” LF-15a,
3237,,,,
3238,,,,
3239,†atəkiti,,†atəkiti atạkíti ‘a lock’ DS-322a,
3240,†mąsi•kora•k(i),,†mąsi•kora•k(i) “masīgorāk” ‘iron’ H1878,
3241,†(a)daki,,"†(a)daki “daki, dag, tûki, tûg” ‘be glued, stick, adhere’ DS-180a. “añksi adaki” ‘glued on arrow’ = ‘arrow feathers’",
3242,,,"ikʻóyaka ‘adhere to, stick to’ B-222a",
3243,,,"ikóyaka ‘adhere to, stick to’ R-195a",
3244,,,áyage ‘glue feathers on a shaft’,
3245,,,,
3246,,,,
3247,,,diské ‘mix sticky substance with the hands’ RR,
3248,,,"sge, hokirú- ‘be stuck together’ KM-1378",
3249,,,"sgé, gi- gisgesgé ‘be solidified, curdled, caked’ KM-394",
3250,,,,
3251,,,,
3252,,,"ske, oká- ‘bunch or lump of things sticking together as candy, sugar etc. B-384",
3253,,,,
3254,,,ádaska ‘stick on’ JOD,
3255,,,"sge, hokirú- ‘be stuck together’ KM-1378",
3256,,,"sgé, gi- gisgesgé ‘be solidified, curdled, caked’ KM-394",
3257,,,,
3258,,,,
3259,,,,
3260,,,,
3261,,,škápoʔš ‘it’s dirty’ C,
3262,†óskabya,,"†óskabya “ósk̇abya” ‘sticking to, adhering’ B-404a",
3263,†aráθkawe,,"†aráθkawe “aráhgawe ~ aráthgawe” ‘stick, adhere, be fast’ JGT92-242",
3264,,,sgaasgáp ‘be sticky’ KM-2819,
3265,,,"xgáp, hara- ‘be stuck on something; have something adhere to one’ KM-6 63",
3266,,,"xgáp, haru- ‘ride on someone’s back’ KM-689",
3267,,,,
3268,,,,
3269,,,,
3270,,,"áskapa ‘to stick to or on, adhere to’ R-48a",
3271,,,baskábe ‘thrust a stick into the mud’ RR,
3272,,,baskáskabe ‘thrust in mud many times’ RR,
3273,,,büskáskabe ‘make sticky by kneading’ RR,
3274,†karickapa,,"†karickapa “kadĭtskapa” ‘stick to, adhere as a glued or pasted surface’ WM-99b",
3275,,,,
3276,,,,
3277,†skáskabe,,†skáskabe “çkáçkabe” ‘be sticky’ SW-164,
3278,†skáskabe,,†skáskabe “çkáçkabe” ‘sticky’ LF-316,
3279,,,,
3280,,,,
3281,,,ataalí ‘steal’ GG-13 (?),
3282,,,,
3283,,,aša•ri ‘steal’ J (?),
3284,†kisiné,,†kisiné “kĭsĭnĕ´” ‘steal from another’ DS-256a,
3285,,,"mądá, mǫdá JOD",
3286,,,,
3287,,,,
3288,,,wąrų́• ‘steal’ C,
3289,,,rų́•re ‘steal’ C,
3290,,,manų́ (mawánų) C,
3291,,,(wa)mųnų Marsh,
3292,,,,
3293,,,"hiinų́-, inų́- ‘steal’ Sp",
3294,†mąnų́•,,"†mąnų́• “manoñ, manōma H; manóma, manóⁿ, manúⁿ” JOD",
3295,,,ma-nų PAS,
3296,,,mąąnų́ KM-2001,
3297,,,,
3298,,,wamǫ́yǫ ‘steal pl. an. objects’ RR,
3299,,,gímǫyǫ ‘steal something from someone’ RR,
3300,,,,
3301,,,aša•ri ‘steal’ J (?),
3302,,,,
3303,,,,
3764,,,,
3305,,,“wamoⁿthoⁿ ” SW-164,
3306,†mąðą́,,†mąðą́ “moⁿthóⁿ ” LF-102b,
3307,,,,
3308,,,,
3309,†ą́•taske,,"†ą́•taske “oⁿtaskĕ´, ontaskĕ´, óⁿtaske” DS-328a, Ssf",
3310,†taburį•čkai,,"†taburį•čkai “tabunītçkai (N), tapniñskai” H.",
3311,,,,
3312,,,xkék ~ xkéke ‘star’ C,
3313,,,wiirágųšgé ‘star’ KM-3674 (?),
3314,,,,
3315,,,,
3316,,,bi•kháxʔe ‘star’ RR,
3317,,,mikkáxʔe ‘star’ RR,
3318,,,wičháxpi ‘star’ C,
3319,†wičhą́xpi,,"†wičhą́xpi “wićáŋḣpi” ‘a star, the stars’ R-568a",
3320,,,mikkákʔe ‘star’ RR,
3321,,,,
3322,,,mihkákʔe ‘star’ RR,
3323,,,,
3324,,,mikkáʔe ‘star’ RR,
3325,,,,
3326,†ątaske,,"†ątaske “oⁿtaskĕ´, ontaskĕ´, óⁿtaske” DS-328a (?)",
3327,†taburį•čkai,,"†taburį•čkai “tabunītçkai (N), tapniñskai” H. (?)",
3328,†įtka,,"†įtka “íⁿtka, iⁿtká” DS-203b",
3329,,,,
3330,,,íhka ‘star’ J,
3331,,,"ihká ‘star’ GG-74, DEC-6",
3332,,,,
3333,,,,
3334,,,te H-246,
3335,,,tɛ Kennard,
3336,,,"téʔš ‘it’s there, stands there, exists’ C",
3337,,,ǰe ‘in a standing position’ JGT92-241,
3338,†akəléwa,,†akəléwa “akạléwa” ‘stand up’ DS-319a,
3339,†ne,,"†ne “ne, nĕ, nédi” ‘standing an. or inan.’, ‘this’ DS-234b ff.",
3340,,,ǰee KM-pd,
3341,,,ǰe ‘distal st. positional’ Lipkind via JEK,
3342,,,,
3343,,,,
3344,,,"čhe ‘standing, inan. classifier’ RR",
3345,†rahÉ,,†rahÉ “nahí” ‘stand’ J,
3346,,,,
3347,,,,
3348,,,"the ‘standing, inan. classifier’ RR",
3349,,,,
3350,,,"the ‘standing, inan. classifier’ RR",
3351,,,"che ‘standing, inan. classifier’ RR",
3352,,,,
3353,,,thą ‘standing animate def. art. and continuative aux.’ RR,
3354,,,,
3355,,,,
3356,,,hąk ‘in a standing position’ H-65,
3357,†hą́de,,"†hą́de “hánde” ‘be, continuous’ DS-193b",
3358,,,hą ‘stand upright’ B-165b,
3359,†-hąk,,†-hąk “-heⁿg” Frachtenberg,
3360,†-hąk,,“-hęk” Sapir,
3361,,+ablaut,hą (+ablaut) PAS,
3362,,,ǰą ‘nearby standing position’ Lipkind,
3363,,,,
3364,†hą,,"†hą “haŋ” ‘stand, stand upright or on end; remain’ R-123a",
3365,,,khą ‘standing animate def. art. and continuative aux.’ RR,
3366,,,,
3367,,,háhku ‘remain’ J,
3368,,,,
3369,,,,
3370,,,áahku ‘remain’ RG,
3371,,,,
3372,,+ablaut,hą (+ablaut) PAS,
3373,,,thą ‘standing animate def. art. and continuative aux.’ RR,
3374,,,,
3375,,,thą ‘standing animate def. art. and continuative aux.’ RR,
3376,,,,
3377,,,ną́yį W-242b,
3378,,,ną́•yį RR,
3379,,,nąžį́ RR,
3380,,,nážį ‘stand’ C,
3381,,,nažį PAS,
3382,,,nąąžį́ KM-2279,
3383,,,,
3384,,,nązį PAS,
3385,,,ną•žį́ RR,
3386,,,,
3387,,,,
3388,,,"nážį “náz´iŋ” ‘stand, rise up; stand still, stop; stand on the ground, get down, alight as from a horse’ R-340a",
3389,,,,
3390,†nąžį́,,†nąžį́ “noⁿzhiⁿ” LF-119z,
3391,,,,
3392,,,nąžį́ C,
3393,,,ną•žį́ RR,
3394,,,,
3395,†čéka,,†čéka “ćéka” ‘stagger’ R-98b,
3396,,,"giǰeǰék ‘trot, jog’ KM-1699",
3397,,,,
3398,,,,
3399,,,"“čéka, čekčéka” ‘stagger’ B-129b",
3400,,,čekčéka PAS,
3401,,,,
3402,†pxuwe,,"†pxuwe “pxu, pxwĕ, pxo, pxwĕ´di” ‘punch, stab, gore’ DS-246a (?)",
3403,,,"póx, ru- ‘make a hole in’ KM-2711",
3404,,,"póx, wa- ‘poke’ KM-3423, ‘stab’ (Lipkind)",
3405,,,"pópox, mąą- ‘poke holes in something’ KM-200",
3406,,,,
3407,,,,
3408,,,,
3409,,,,
3410,,,"puxE, ná- ‘bite and leave mark’ J",
3411,,,"puxE, nú- ‘bruise’ J",
3412,,,"púxE, ha- ‘slit, lance’ J",
3413,,,"púxi, a- ‘bite into, cut into, vaccinate’ GG-12",
3414,,,,
3415,,,,
3416,,,dápeʔš ‘he stabbed it’ C,
3417,,,čha_phá ‘stab’ C,
3418,,,žá•we ‘stab’ [\io MERGE],
3419,,,čha_phá ‘stab’ PAS,
3420,†pxuwédi,,"†pxuwédi “pxwĕ´di” ‘stab, punch, gore, etc.’ DS-246a (?)",
3421,,,žáphe ‘stab’ RR,
3422,,,,
3423,,,iráhpE ‘stab’ J,
3424,,,,
3425,,,,
3426,,,"aláhpi ‘stab, puncture’ GG-7",
3427,,,yá•we ‘stab’ RR,
3428,†žáphe,,†žáphe “zhápshe” ‘stab’ LF-222a,
3429,,,gi•žahe ‘stab’ RR,
3430,,,žahe ‘stab’ JOD,
3431,,,,
3432,,,hétta ‘ground squirrel’ RR,
3433,,,hetkála ‘ground squirrel’ B-173b,
3434,,,héečge (nįk) ‘chipmunk’ KM-784,
3435,,,,
3436,†hetkádą,,†hetkádą “hetkádaŋ” ‘ground sq.’ Sciurus. R-144b,
3437,,,héxlį žį́ga ‘ground squirrel’ RR,
3438,,,,
3439,†héxlį,,†héxlį “héxthiⁿ žįga” ‘ground squirrel’ LF-59b,
3440,,,,
3441,,,“héxthiⁿ” ‘ground squirrel’ SW-163,
3442,,,,
3443,,,,
3444,,,pšičá ‘flying squirrel’ B-447a,
3445,†čiká,,†čiká “tciká” ‘flying squirrel’ DS-264a,
3446,,,kšį́įk ‘flying squirrel’ KM-1911,
3447,,,,
3448,†pšįcá,,†pšįcá “pśiŋcá” ‘flying squirrel’ R-426b,
3449,†sįge,,†sįge “singe” ‘squirrel’ JGT92-239,
3450,†šį́ñe,,†šį́ñe “shíñye” ‘squirrel’ JGT92-239 [\io MERGE],
3451,,,,
3452,,,,
3453,†tóstəki,,†tóstəki “tóstạkĭ” DS-331a,
3454,†nista•xkai,,†nista•xkai “nistāqkai” ‘squirrel’ H,
3455,†nasəki,,"†nasəki “nsûkí, nasŭkí, nasŭ´k, nsûk” ‘squirrel’ DS-238b",
3456,†nasəki,,inckeʔ Haas,
3457,†nasəki,,Inṭskeʔ Swadesh,
3458,,,,
3459,,,θį́ŋe Marsh,
3460,,,sį́ka ‘squirrel’ RR,
3461,,,zičá ‘squirrel’ C,
3462,,,zíik ‘squirrel’ KM-3977,
3463,,,,
3464,†zičá,,†zičá “zićá” ‘squirrel’ R-649b,
3465,,,sį́ga ‘squirrel’ RR,
3466,,,,
3467,†sį́ka,,†sį́ka “çíⁿga” ‘squirrel’ LF-30b,
3468,,,,
3469,,,sį́ga ‘squirrel’ RR,
3470,,,,
3471,,,xlí ‘be sore’ Marsh,
3472,,,"xdí ‘mucus, pus’ RR",
3473,,,"xlí ‘break out in sores, running sores’ B-194a",
3474,,,kaxlí ‘get stuck’ EJ,
3475,,,naxlí ‘step into mud’ EB:344,
3476,,,opúxli ‘stuff anything into’ EB:403,
3477,,,paxlí ‘stick in the ground (e.g. a stake or stick)’ EB:426,
3478,,,"yuxlíxli ‘make dirty, slimy, slippery’ EB:638",
3479,,,xirí ‘be festering’ KM-3917,
3480,,,"booxíri ‘mash by shooting, blowing, great force’ KM:100, Lk-20.2fb",
3481,,,horuxíri ‘squash sth. smeary by hand (harder substance than horuzíp)’ KM:1510,
3482,,,"taaxíri ‘melt metal; cook sth. thick’ KM:3098 et, Lk-20.14fb",
3483,,,"waxirí ‘smash with pressure or pushing away from body’ KM:3522, Lk-18.1fb",
3484,,,,
3485,,,,
3486,,,,
3487,,,,
3488,,,,
3489,,,"xlíxli ‘mirey, mud with water oozing up through it’ RR",
3490,,,-xli; (-xlį RR) ‘running sore’ RR,
3491,,,,
3492,,,,
3493,†xlí,,"†xlí “xthi” ‘fester, suppurate’ LF-220b",
3494,†xðí,,†xðí “xthi” ‘pus’ SW-142,
3495,,,,
3496,,,,
3497,,,distítte ‘milk (a cow)’ JOD,
3498,,,slí ‘ooze out’ B-457a,
3499,,,"sli, iná- ‘crush with the feet’ B-226",
3500,,,"sli, ípu- ‘be close to, press upon, touch anything’ B-232",
3501,,,"slí, ka- ‘strike and force something out, as water from a bladder or rubber ball, or grease from the same’ B-289",
3502,,,"slí, pa- ‘squeeze out by pressure’ B-433",
3503,,,"slí, wa- ‘press out with a knife or by cutting’ B-549",
3504,,,"slí, wo- ‘push down in, as in churning; to squirt’ B-608",
3505,,,"slí, ya- ‘bite and press out, as grease from a bag’ B-627",
3506,,,"slí, yu- ‘squeeze out, as matter from a sore; to milk’. B-650",
3507,†sįnį-,,"†sįnį- “sĭ´nĭhoⁿ´, siⁿhuⁿni´, sûⁿ´nihoⁿni´, sinhúni” ‘mush’ DS-256a",
3508,,var. hokiwáširí,-siri ‘ooze out’ KM-2853,
3509,,,"sirí, ra- ‘(‘vomit’, Lk-19.3fb)’ KM-2563",
3510,,,"sirí, ru- ‘squeeze out, e.g., toothpaste from tube’ KM-2719",
